# MIME table updated from IANA application.csv on 2026-05-01
# Format: <mime-type><TAB><space-separated-extensions>

application/1d-interleaved-parityfec	1d-interleaved-parityfec
application/vnd.3gpp.5gnas	vnd.3gpp.5gnas
application/vnd.3gpp.5gsa2x	vnd.3gpp.5gsa2x
application/vnd.3gpp.5gsa2x-local-service-information	vnd.3gpp.5gsa2x-local-service-information
application/vnd.3gpp.5gsv2x	vnd.3gpp.5gsv2x
application/vnd.3gpp.5gsv2x-local-service-information	vnd.3gpp.5gsv2x-local-service-information
application/vnd.3gpp.access-transfer-events+xml	vnd.3gpp.access-transfer-events+xml
application/vnd.3gpp.bsf+xml	vnd.3gpp.bsf+xml
application/vnd.3gpp.crs+xml	vnd.3gpp.crs+xml
application/vnd.3gpp.current-location-discovery+xml	vnd.3gpp.current-location-discovery+xml
application/vnd.3gpp.GMOP+xml	vnd.3gpp.gmop+xml
application/vnd.3gpp.gtpc	vnd.3gpp.gtpc
application/vnd.3gpp.interworking-data	vnd.3gpp.interworking-data
application/vnd.3gpp.lpp	vnd.3gpp.lpp
application/vnd.3gpp.mc-signalling-ear	vnd.3gpp.mc-signalling-ear
application/vnd.3gpp.mcdata-affiliation-command+xml	vnd.3gpp.mcdata-affiliation-command+xml
application/vnd.3gpp.mcdata-info+xml	vnd.3gpp.mcdata-info+xml
application/vnd.3gpp.mcdata-msgstore-ctrl-request+xml	vnd.3gpp.mcdata-msgstore-ctrl-request+xml
application/vnd.3gpp.mcdata-payload	vnd.3gpp.mcdata-payload
application/vnd.3gpp.mcdata-regroup+xml	vnd.3gpp.mcdata-regroup+xml
application/vnd.3gpp.mcdata-service-config+xml	vnd.3gpp.mcdata-service-config+xml
application/vnd.3gpp.mcdata-signalling	vnd.3gpp.mcdata-signalling
application/vnd.3gpp.mcdata-ue-config+xml	vnd.3gpp.mcdata-ue-config+xml
application/vnd.3gpp.mcdata-user-profile+xml	vnd.3gpp.mcdata-user-profile+xml
application/vnd.3gpp.mcptt-affiliation-command+xml	vnd.3gpp.mcptt-affiliation-command+xml
application/vnd.3gpp.mcptt-floor-request+xml	vnd.3gpp.mcptt-floor-request+xml
application/vnd.3gpp.mcptt-info+xml	vnd.3gpp.mcptt-info+xml
application/vnd.3gpp.mcptt-location-info+xml	vnd.3gpp.mcptt-location-info+xml
application/vnd.3gpp.mcptt-mbms-usage-info+xml	vnd.3gpp.mcptt-mbms-usage-info+xml
application/vnd.3gpp.mcptt-regroup+xml	vnd.3gpp.mcptt-regroup+xml
application/vnd.3gpp.mcptt-service-config+xml	vnd.3gpp.mcptt-service-config+xml
application/vnd.3gpp.mcptt-signed+xml	vnd.3gpp.mcptt-signed+xml
application/vnd.3gpp.mcptt-ue-config+xml	vnd.3gpp.mcptt-ue-config+xml
application/vnd.3gpp.mcptt-ue-init-config+xml	vnd.3gpp.mcptt-ue-init-config+xml
application/vnd.3gpp.mcptt-user-profile+xml	vnd.3gpp.mcptt-user-profile+xml
application/vnd.3gpp.mcs-location-user-config+xml	vnd.3gpp.mcs-location-user-config+xml
application/vnd.3gpp.mcvideo-affiliation-command+xml	vnd.3gpp.mcvideo-affiliation-command+xml
application/vnd.3gpp.mcvideo-affiliation-info+xml	vnd.3gpp.mcvideo-affiliation-info+xml
application/vnd.3gpp.mcvideo-info+xml	vnd.3gpp.mcvideo-info+xml
application/vnd.3gpp.mcvideo-location-info+xml	vnd.3gpp.mcvideo-location-info+xml
application/vnd.3gpp.mcvideo-mbms-usage-info+xml	vnd.3gpp.mcvideo-mbms-usage-info+xml
application/vnd.3gpp.mcvideo-regroup+xml	vnd.3gpp.mcvideo-regroup+xml
application/vnd.3gpp.mcvideo-service-config+xml	vnd.3gpp.mcvideo-service-config+xml
application/vnd.3gpp.mcvideo-transmission-request+xml	vnd.3gpp.mcvideo-transmission-request+xml
application/vnd.3gpp.mcvideo-ue-config+xml	vnd.3gpp.mcvideo-ue-config+xml
application/vnd.3gpp.mcvideo-user-profile+xml	vnd.3gpp.mcvideo-user-profile+xml
application/vnd.3gpp.mid-call+xml	vnd.3gpp.mid-call+xml
application/vnd.3gpp.ngap	vnd.3gpp.ngap
application/vnd.3gpp.pfcp	vnd.3gpp.pfcp
application/vnd.3gpp.pic-bw-large	plb
application/vnd.3gpp.pic-bw-small	psb
application/vnd.3gpp.pic-bw-var	pvb
application/vnd.3gpp.pinapp-info+xml	vnd.3gpp.pinapp-info+xml
application/vnd.3gpp.s1ap	vnd.3gpp.s1ap
application/vnd.3gpp.seal-app-comm-requirements-info+xml	vnd.3gpp.seal-app-comm-requirements-info+xml
application/vnd.3gpp.seal-data-delivery-info+cbor	vnd.3gpp.seal-data-delivery-info+cbor
application/vnd.3gpp.seal-data-delivery-info+xml	vnd.3gpp.seal-data-delivery-info+xml
application/vnd.3gpp.seal-group-doc+xml	vnd.3gpp.seal-group-doc+xml
application/vnd.3gpp.seal-info+xml	vnd.3gpp.seal-info+xml
application/vnd.3gpp.seal-location-info+cbor	vnd.3gpp.seal-location-info+cbor
application/vnd.3gpp.seal-location-info+xml	vnd.3gpp.seal-location-info+xml
